"bill_len" "bill_dep" "flipper" "body_mass"
39.1 18.7 181 3750
39.3 20.6 190 3650
39.2 19.6 195 4675
38.6 21.2 191 3800
34.6 21.1 198 4400
42.5 20.7 197 4500
46 21.5 194 4200
37.7 18.7 180 3600
38.2 18.1 185 3950
38.8 17.2 180 3800
40.6 18.6 183 3550
40.5 18.9 180 3950
37.2 18.1 178 3900
40.9 18.9 184 3900
39.2 21.1 196 4150
38.8 20 190 3950
39.8 19.1 184 4650
40.8 18.4 195 3900
44.1 19.7 196 4400
39.6 18.8 190 4600
41.1 19 182 3425
42.3 21.2 191 4150
40.1 18.9 188 4300
42 19.5 200 4050
41.4 18.6 191 3700
40.6 18.8 193 3800
37.6 19.1 194 3750
41.3 21.1 195 4400
41.1 18.2 192 4050
41.6 18 192 3950
41.1 19.1 188 4100
41.8 19.4 198 4450
39.7 18.4 190 3900
45.8 18.9 197 4150
42.8 18.5 195 4250
37.2 19.4 184 3900
42.1 19.1 195 4000
42.9 17.6 196 4700
35.1 19.4 193 4200
41.3 20.3 194 3550
36.3 19.5 190 3800
38.3 19.2 189 3950
41.1 18.1 205 4300
39.6 18.1 186 4450
40.8 18.9 208 4300
40.3 18.5 196 4350
43.2 18.5 192 4100
41 20 203 4725
37.8 20 190 4250
39.7 18.9 184 3550
38.2 20 190 3900
43.2 19 197 4775
45.6 20.3 191 4600
42.2 19.5 197 4275
42.7 18.3 196 4075
37.3 20.5 199 3775
41.1 18.6 189 3325
37.7 19.8 198 3500
41.4 18.5 202 3875
40.6 19 199 4000
41.5 18.3 195 4300
44.1 18 210 4000
43.1 19.2 197 3500
37.5 18.5 199 4475
41.1 17.5 190 3900
40.2 20.1 200 3975
39.7 17.9 193 4250
40.6 17.2 187 3475
40.7 17 190 3725
39 18.7 185 3650
39.2 18.6 190 4250
37.8 18.1 193 3750
41.5 18.5 201 4000
