"pais","pib","expectativa_vida","mortalidade_inf","taxa_fecundidade","urbana","taxa_desemprego","acesso_eletricidade"
"Argentina",14187.4827252965,77.395,8.2,1.5,92.463,6.139,100
"Bolivia",3686.27996442176,68.581,20,2.547,71.186,3.024,99.8
"Brazil",10377.5892792557,75.848,12.5,1.619,87.788,7.947,99.8
"Chile",17067.0364799154,81.167,6.2,1.167,88.012,9.013,100
"Colombia",7000.83660501046,77.725,10.9,1.645,82.354,9.594,98.7
"Ecuador",6737.84748379638,77.392,11.1,1.823,64.792,3.51,98.7
"Guyana",20473.7002190617,70.18,23.8,2.412,27.162,12.025,98.9
"Paraguay",6299.99026533643,73.844,15.1,2.422,63.149,5.794,99.8
"Peru",7887.54185920108,77.74,13.5,1.98,78.922,4.899,96.2
"Suriname",5494.07409425517,73.631,15.2,2.249,66.411,7.631,99.6
"Uruguay",23019.4221560046,78.138,5.5,1.409,95.771,8.355,100
"Venezuela, RB",5252,72.514,21.5,2.079,88.438,5.485,100
