"vanadium","iron","beryllium","saturated_h","aromatic_h","zone"
3.9,51,0.2,7.06,12.19,"Wilhelm"
2.7,49,0.07,7.14,12.23,"Wilhelm"
2.8,36,0.3,7,11.3,"Wilhelm"
3.1,45,0.08,7.2,13.01,"Wilhelm"
3.5,46,0.1,7.81,12.63,"Wilhelm"
3.9,43,0.07,6.25,10.42,"Wilhelm"
2.7,35,0,5.11,9,"Wilhelm"
5,47,0.07,7.06,6.1,"SubMuli"
3.4,32,0.2,5.82,4.69,"SubMuli"
1.2,12,0,5.54,3.15,"SubMuli"
8.4,17,0.07,6.31,4.55,"SubMuli"
4.2,36,0.5,9.25,4.95,"SubMuli"
4.2,35,0.5,5.69,2.22,"SubMuli"
3.9,41,0.1,5.63,2.94,"SubMuli"
3.9,36,0.07,6.19,2.27,"SubMuli"
7.3,32,0.3,8.02,12.92,"SubMuli"
4.4,46,0.07,7.54,5.76,"SubMuli"
3,30,0,5.12,10.77,"SubMuli"
6.3,13,0.5,4.24,8.27,"Upper"
1.7,5.6,1,5.69,4.64,"Upper"
7.3,24,0,4.34,2.99,"Upper"
7.8,18,0.5,3.92,6.09,"Upper"
7.8,25,0.7,5.39,6.2,"Upper"
7.8,26,1,5.02,2.5,"Upper"
9.5,17,0.05,3.52,5.71,"Upper"
7.7,14,0.3,4.65,8.63,"Upper"
11,20,0.5,4.27,8.4,"Upper"
8,14,0.3,4.32,7.87,"Upper"
8.4,18,0.2,4.38,7.98,"Upper"
10,18,0.1,3.06,7.67,"Upper"
7.3,15,0.05,3.76,6.84,"Upper"
9.5,22,0.3,3.98,5.02,"Upper"
8.4,15,0.2,5.02,10.12,"Upper"
8.4,17,0.2,4.42,8.25,"Upper"
9.5,25,0.5,4.44,5.95,"Upper"
7.2,22,1,4.7,3.49,"Upper"
4,12,0.5,5.71,6.32,"Upper"
6.7,52,0.5,4.8,3.2,"Upper"
9,27,0.3,3.69,3.3,"Upper"
7.8,29,1.5,6.72,5.75,"Upper"
4.5,41,0.5,3.33,2.27,"Upper"
6.2,34,0.7,7.56,6.93,"Upper"
5.6,20,0.5,5.07,6.7,"Upper"
9,17,0.2,4.39,8.33,"Upper"
8.4,20,0.1,3.74,3.77,"Upper"
9.5,19,0.5,3.72,7.37,"Upper"
9,20,0.5,5.97,11.17,"Upper"
6.2,16,0.05,4.23,4.18,"Upper"
7.3,20,0.5,4.39,3.5,"Upper"
3.6,15,0.7,7,4.82,"Upper"
6.2,34,0.07,4.84,2.37,"Upper"
7.3,22,0,4.13,2.7,"Upper"
4.1,29,0.7,5.78,7.76,"Upper"
5.4,29,0.2,4.64,2.65,"Upper"
5,34,0.7,4.21,6.5,"Upper"
6.2,27,0.3,3.97,2.97,"Upper"
