"X100m","Long.jump","Shot.put","High.jump","X400m","X110m.hurdle","Discus","Pole.vault","Javeline","X1500m"
10.85,7.84,16.36,2.12,48.36,14.05,48.72,5,70.52,280.01
10.44,7.96,15.23,2.06,49.19,14.13,50.11,4.9,69.71,282
10.5,7.81,15.93,2.09,46.81,13.97,51.65,4.6,55.54,278.11
10.89,7.47,15.73,2.15,48.97,14.56,48.34,4.4,58.46,265.42
10.62,7.74,14.48,1.97,47.97,14.01,43.73,4.9,55.39,278.05
10.91,7.14,15.31,2.12,49.4,14.95,45.62,4.7,63.45,269.54
10.97,7.19,14.65,2.03,48.73,14.25,44.72,4.8,57.76,264.35
10.69,7.48,14.8,2.12,49.13,14.17,44.75,4.4,55.27,276.31
10.98,7.49,14.01,1.94,49.76,14.25,42.43,5.1,56.32,273.56
10.95,7.31,15.1,2.06,50.79,14.21,44.6,5,53.45,287.63
10.9,7.3,14.77,1.88,50.3,14.34,44.41,5,60.89,278.82
11.14,6.99,14.91,1.94,49.41,14.37,44.83,4.6,64.55,267.09
10.8,7.53,14.26,1.88,48.81,14.8,42.05,5.4,61.33,276.33
10.87,7.38,13.07,1.88,48.51,14.01,40.11,5,51.53,274.21
