"natureza","humanas","mat","linguagens","redacao"
411.7,309.2,504.8,486.7,820
370.1,414.5,445.5,387.3,400
428.7,494.5,572.2,530.5,600
450.2,415.1,380.7,462.7,560
532.3,455,415.2,521.5,860
429.8,422,405.8,419.1,480
503.4,513,541.4,582,720
497.2,458.1,430.3,482.9,360
441.3,375.6,420.2,445.8,600
411,503.7,433,570.4,480
391.6,490.8,491.8,509.3,620
530.2,462.8,494.8,414.1,0
375.6,422.5,386.7,427.8,400
442.7,376.7,419.5,495.9,560
458.6,460.5,454.7,522.7,880
433.9,488.1,516.8,516.5,680
369.2,418.8,403.6,482.3,720
488,461,383.3,416.1,540
447,566.6,494.4,570.8,940
518,474.6,623.7,526.9,760
387.8,529.3,525.4,560.2,820
544.2,576,644.4,575.9,900
379.2,533.8,532.9,433.9,0
383.5,410.9,383.4,427.8,600
447.9,507.9,552.8,565.8,820
580.2,489.1,461.7,522.6,600
408,450.5,501.3,504.8,480
395.7,364.7,463.1,400.7,460
421.2,538.8,460.8,551.4,940
563.5,611.5,701.8,634.9,760
500.2,476.6,572.9,432.6,580
529.2,432.1,444,484,700
379.4,334.5,429.5,388,0
458.8,498.7,428.8,537.5,500
483.4,569.1,558.1,538.9,800
566.4,546.8,658.2,593.5,800
420.8,443.9,421.5,546.3,540
668,751.8,778.3,684.7,820
505.9,589.4,482.1,561.5,820
405.5,537.6,494.7,519.6,680
616.3,592.6,625.1,588.5,0
487.5,499.1,504.3,437.7,740
533.3,602.8,674.2,551.8,820
460.8,406.5,471.4,427.6,500
482.2,568.8,620.1,578.5,940
395.1,521.5,472.1,497.6,820
374,357,383.9,500.2,620
463.9,505.6,507.9,509.2,800
449,544.1,383.7,570.1,600
439.5,477.1,441.3,465.3,0
499.1,527.4,565,504.6,800
586.6,647.3,665.3,591.7,900
435.5,348.6,397.7,441.6,480
370.6,380.7,397.5,430.8,480
432.5,394.6,415.1,512.6,840
461.1,430,444.6,436.7,400
560,501.6,606.8,477.9,580
414.9,478.4,541,534,700
439.6,458.7,536.8,533.2,760
595.3,512,507.7,594.5,760
450.7,553.6,526.8,569.5,800
509.6,544.7,622.5,548.6,760
456.9,523.8,537.5,554.7,680
397,468.7,381,464,520
476.7,524.1,557.8,469.9,800
422.7,575.3,391.2,558.1,700
420.4,490.9,504.5,509.6,820
402.9,329.9,386.6,474.7,440
429.4,535.4,567.4,543.8,660
400,563,422.5,566.6,620
479.4,517.9,590.9,534.4,800
615.5,649.3,748.4,614,880
460.2,353.4,552.5,384.7,700
435.9,463.6,499.7,470.4,600
450.9,429.8,446.6,546.6,680
618,554,592.7,515.7,920
427.8,346.6,494.7,507.4,660
372.1,539,460,582.2,720
492.1,468.8,536.9,535.3,740
449.8,472.1,431.2,479.7,540
489.8,554.7,477.1,588.7,620
369.7,441.1,383.8,452.5,200
440.2,527.4,437.3,524.8,720
692.5,665.5,865.2,623.5,760
