"fiber","carb","total_fat","gender","age","education","income"
12.346,188.849,84.497,"Female",71,"illiterate_elementary","I"
13.174,116.851,48.294,"Female",67,"illiterate_elementary","III"
24.292,518.495,311.569,"Male",61,"high_university","IV"
26.114,148.434,39.174,"Female",62,"high_university","IV"
18.54,163.201,76.439,"Female",65,"illiterate_elementary","I"
16.809,301.501,35.453,"Female",64,"illiterate_elementary","I"
25.112,225.501,56.163,"Male",64,"high_university","II"
13.783,137.043,79.513,"Female",62,"high_university","III"
10.92,154.396,132.963,"Male",69,"illiterate_elementary","I"
37.204,265.507,54.992,"Female",76,"illiterate_elementary","I"
11.86,188.365,83.419,"Female",83,"illiterate_elementary","I"
6.538,77.869,11.776,"Female",78,"illiterate_elementary","I"
14.359,189.2,41.296,"Female",88,"illiterate_elementary","I"
9.774,196.553,50.903,"Male",78,"high_university","IV"
30.936,362.798,101.688,"Female",81,"illiterate_elementary","I"
8.009,197.188,62.499,"Female",80,"illiterate_elementary","I"
13.023,237.516,40.89,"Female",72,"illiterate_elementary","I"
8.808,164.034,34.643,"Male",90,"illiterate_elementary","I"
6.658,109.854,39.338,"Female",74,"illiterate_elementary","I"
6.202,103.456,33.63,"Female",64,"high_university","I"
9.233,121.836,39.949,"Female",82,"illiterate_elementary","I"
10.946,116.21,38.027,"Female",69,"illiterate_elementary","I"
14.968,364.099,56.664,"Female",76,"illiterate_elementary","I"
26.532,176.454,40.27,"Female",69,"high_university","II"
10.588,233.264,94.927,"Female",64,"high_university","I"
17.608,229.298,96.161,"Female",72,"high_university","IV"
13.28,171.04,51.095,"Female",71,"illiterate_elementary","II"
2.689,59.93,19.068,"Female",63,"illiterate_elementary","I"
3.895,99.168,20.982,"Female",87,"illiterate_elementary","I"
18.186,148.053,44.71,"Male",69,"illiterate_elementary","I"
21.103,174.1,85.496,"Male",82,"illiterate_elementary","I"
14.674,376.322,31.066,"Female",92,"illiterate_elementary","I"
28.721,190.725,42.184,"Female",79,"illiterate_elementary","I"
31.971,310.224,108.875,"Female",71,"illiterate_elementary","I"
11.231,150.595,55.372,"Male",80,"illiterate_elementary","I"
13.977,166.113,25.36,"Female",77,"illiterate_elementary","I"
30.529,266.165,59.74,"Male",64,"illiterate_elementary","I"
15.073,183.917,50.008,"Female",69,"illiterate_elementary","I"
9.826,204.929,68.829,"Female",69,"illiterate_elementary","I"
22.672,297.653,32.604,"Female",72,"high_university","I"
10.95,164.615,66.516,"Male",70,"illiterate_elementary","I"
7.341,72.815,16.583,"Female",70,"illiterate_elementary","I"
21.296,170.189,37.55,"Female",72,"illiterate_elementary","I"
26.587,198.307,65.808,"Female",72,"illiterate_elementary","I"
14.612,139.91,24.725,"Male",60,"illiterate_elementary","I"
28.081,319.616,114.962,"Male",86,"high_university","II"
11.078,186.223,59.934,"Female",74,"illiterate_elementary","I"
19.126,300.056,102.033,"Female",71,"illiterate_elementary","I"
13.424,185.71,51.135,"Female",76,"illiterate_elementary","I"
17.028,245.112,94.68,"Male",76,"illiterate_elementary","I"
12.948,141.701,53.85,"Female",65,"high_university","I"
12.545,129.591,73.137,"Female",70,"illiterate_elementary","I"
12.291,182.565,95.512,"Female",70,"illiterate_elementary","I"
19.182,224.037,118.407,"Male",65,"illiterate_elementary","I"
8.655,122.86,53.335,"Male",63,"illiterate_elementary","II"
17.458,153.733,61.675,"Female",65,"illiterate_elementary","I"
30.184,305.88,85.524,"Female",74,"illiterate_elementary","I"
6.158,144.647,55.852,"Female",60,"illiterate_elementary","I"
9.34,140.465,26.709,"Female",65,"illiterate_elementary","I"
8.939,102.469,110.297,"Female",64,"illiterate_elementary","I"
15.454,240.64,79.628,"Female",68,"illiterate_elementary","II"
51.57,395.822,39.283,"Female",79,"illiterate_elementary","I"
28.986,263.253,56.194,"Female",76,"illiterate_elementary","I"
19.35,179.617,61.786,"Male",61,"illiterate_elementary","I"
10.315,108.167,29.254,"Female",60,"illiterate_elementary","I"
21.018,330.524,84.003,"Female",78,"high_university","I"
11.593,172.929,38.098,"Male",71,"illiterate_elementary","I"
7.265,88.532,55.444,"Female",65,"illiterate_elementary","I"
12.798,278.665,35.425,"Male",65,"illiterate_elementary","I"
35.797,521.616,84.853,"Male",80,"illiterate_elementary","I"
23.309,321.609,67.279,"Male",77,"illiterate_elementary","I"
11.706,124.545,32.508,"Female",73,"illiterate_elementary","I"
18.692,197.212,54.708,"Female",67,"illiterate_elementary","I"
12.349,120.276,36.95,"Female",68,"illiterate_elementary","I"
2.32,18.811,14.785,"Female",61,"illiterate_elementary","I"
40.724,323.698,80.757,"Male",74,"illiterate_elementary","I"
18.966,277.745,54.547,"Female",61,"illiterate_elementary","I"
21.562,180.833,44.651,"Male",73,"high_university","I"
23.371,372.744,74.978,"Female",68,"illiterate_elementary","I"
13.422,250.191,48.898,"Male",73,"illiterate_elementary","I"
16.398,325.661,100.184,"Female",84,"high_university","IV"
20.192,266.32,93.089,"Female",75,"illiterate_elementary","I"
17.648,180.633,18.961,"Female",69,"high_university","IV"
15.241,170.813,60.27,"Female",81,"illiterate_elementary","I"
66.434,436.103,260.961,"Male",70,"illiterate_elementary","I"
7.268,89.486,29.017,"Female",72,"illiterate_elementary","I"
13.84,299.689,88.937,"Female",72,"illiterate_elementary","II"
15.595,184.325,34.283,"Female",79,"illiterate_elementary","I"
24.211,285.32,62.266,"Female",87,"illiterate_elementary","I"
8.118,144.815,31.207,"Male",89,"illiterate_elementary","I"
19.112,260.547,38.041,"Female",70,"illiterate_elementary","I"
14.005,140.886,75.543,"Female",84,"illiterate_elementary","I"
11.956,167.634,37.757,"Female",79,"illiterate_elementary","I"
31.449,235.864,32.76,"Male",81,"illiterate_elementary","I"
23.424,391.059,113.778,"Female",82,"illiterate_elementary","II"
